datetime,pct,precip,precipcover,preciptype,snow,snowdepth
2016-06-28,0.7679614075414758,0.077,4.17,rain,0.0,0.0
2016-06-29,0.7657057319744374,0.051,20.83,rain,0.0,0.0
2016-06-30,0.7120623434750852,0.0,0.0,,0.0,0.0
2016-07-01,0.7803076223477234,0.209,12.5,rain,0.0,0.0
2016-07-02,0.8090984639911356,0.0,0.0,,0.0,0.0
2016-07-03,0.75092341974375,0.0,0.0,,0.0,0.0
2016-07-04,0.8490835551214038,0.0,0.0,,0.0,0.0
2016-07-05,0.7426734304137755,0.24,25.0,rain,0.0,0.0
2016-07-06,0.7687315307079085,0.0,0.0,,0.0,0.0
2016-07-07,0.8030851385086419,0.0,0.0,,0.0,0.0
2016-07-08,0.7532404920627378,0.023,8.33,rain,0.0,0.0
2016-07-09,0.809578841480314,0.058,8.33,rain,0.0,0.0
2016-07-10,0.776980503851981,0.137,20.83,rain,0.0,0.0
2016-07-11,0.7878396065254812,0.0,0.0,,0.0,0.0
2016-07-12,0.724012093883486,0.0,0.0,,0.0,0.0
2016-07-13,0.7425043879124842,0.0,0.0,,0.0,0.0
2016-07-14,0.7241591011953634,0.001,4.17,rain,0.0,0.0
2016-07-15,0.7669223113515489,0.0,0.0,,0.0,0.0
2016-07-16,0.8186975817168252,0.0,0.0,,0.0,0.0
2016-07-17,0.7508236374699523,0.0,0.0,,0.0,0.0
2016-07-18,0.7231419169131872,0.011,4.17,rain,0.0,0.0
2016-07-19,0.7243467900086843,0.0,0.0,,0.0,0.0
2016-07-20,0.7861525432611725,0.0,0.0,,0.0,0.0
2016-07-21,0.8087206605090851,0.0,0.0,,0.0,0.0
2016-07-22,0.7721691919421968,0.001,4.17,rain,0.0,0.0
2016-07-23,0.7983205636151558,0.0,0.0,,0.0,0.0
2016-07-24,0.7524927813265776,0.0,0.0,,0.0,0.0
2016-07-25,0.783022133579015,0.0,0.0,,0.0,0.0
2016-07-26,0.7319397919677608,0.0,0.0,,0.0,0.0
2016-07-27,0.6924876159863462,0.0,0.0,,0.0,0.0
2016-07-28,0.7050767161063117,0.0,0.0,,0.0,0.0
2016-07-29,0.7816436989932067,0.071,25.0,rain,0.0,0.0
2016-07-30,0.691116716263563,0.021,4.17,rain,0.0,0.0
2016-07-31,0.6688441063441064,0.209,29.17,rain,0.0,0.0
2016-08-01,0.7327448555984271,0.002,4.17,rain,0.0,0.0
2016-08-02,0.8074431296646396,0.052,29.17,rain,0.0,0.0
2016-08-03,0.7435390729462781,0.0,0.0,,0.0,0.0
2016-08-04,0.7372047838900007,0.0,0.0,,0.0,0.0
2016-08-05,0.7580110554351549,0.0,0.0,,0.0,0.0
2016-08-06,0.7970622650104223,0.018,4.17,rain,0.0,0.0
2016-08-07,0.778348473449332,0.0,0.0,,0.0,0.0
2016-08-08,0.7808631054736879,0.0,0.0,,0.0,0.0
2016-08-09,0.731004383267496,0.0,0.0,,0.0,0.0
2016-08-10,0.7423685880617056,0.238,25.0,rain,0.0,0.0
2016-08-11,0.7833277928801139,0.0,0.0,,0.0,0.0
2016-08-12,0.8018498701938757,0.011,4.17,rain,0.0,0.0
2016-08-13,0.8379634274769494,0.028,4.17,rain,0.0,0.0
2016-08-14,0.7438378904201962,0.514,29.17,rain,0.0,0.0
2016-08-15,0.7814585776455067,0.0,0.0,,0.0,0.0
2016-08-16,0.7667792166938638,0.004,4.17,rain,0.0,0.0
2016-08-17,0.7754999472223612,0.0,0.0,,0.0,0.0
2016-08-18,0.8103731584425119,0.0,0.0,,0.0,0.0
2016-08-19,0.7719030557388633,0.0,0.0,,0.0,0.0
2016-08-20,0.8280576402703672,0.0,0.0,,0.0,0.0
2016-08-21,0.7534806358812648,0.0,0.0,,0.0,0.0
2016-08-22,0.8369491282510497,0.866,20.83,rain,0.0,0.0
2016-08-23,0.7979343588165173,0.0,0.0,,0.0,0.0
2016-08-24,0.809276274998095,0.0,0.0,,0.0,0.0
2016-08-25,0.7683757551245836,0.0,0.0,,0.0,0.0
2016-08-26,0.8065729772680033,0.021,4.17,rain,0.0,0.0
2016-08-27,0.8203374011940716,0.0,0.0,,0.0,0.0
2016-08-28,0.7959294447569107,0.0,0.0,,0.0,0.0
2016-08-29,0.7871352406831389,0.0,0.0,,0.0,0.0
2016-08-30,0.8270308667497677,0.0,0.0,,0.0,0.0
2016-08-31,0.8079754659567713,0.0,0.0,,0.0,0.0
2016-09-01,0.7938970084183551,0.034,25.0,rain,0.0,0.0
2016-09-02,0.7629378174705854,0.0,0.0,,0.0,0.0
2016-09-03,0.8142275164143065,0.0,0.0,,0.0,0.0
2016-09-04,0.7762213401956936,0.0,0.0,,0.0,0.0
2016-09-05,0.8055950956302199,0.094,25.0,rain,0.0,0.0
2016-09-06,0.7793258244865071,0.168,45.83,rain,0.0,0.0
2016-09-07,0.8019970366649295,0.037,12.5,rain,0.0,0.0
2016-09-08,0.7807593409404625,0.0,0.0,,0.0,0.0
2016-09-09,0.8160287870813285,0.0,0.0,,0.0,0.0
2016-09-10,0.8544606277088884,0.011,4.17,rain,0.0,0.0
2016-09-11,0.7969371098607081,0.028,4.17,rain,0.0,0.0
2016-09-12,0.741704239488262,0.0,0.0,,0.0,0.0
2016-09-13,0.7952445366485164,0.0,0.0,,0.0,0.0
2016-09-14,0.7155432381448092,0.055,8.33,rain,0.0,0.0
2016-09-15,0.82791708097318,0.0,0.0,,0.0,0.0
2016-09-17,0.8228438472407282,0.0,0.0,,0.0,0.0
2016-09-18,0.8024447236596481,0.0,0.0,,0.0,0.0
2016-09-19,0.8016589490951307,0.316,29.17,rain,0.0,0.0
2016-09-20,0.7799435913904904,0.0,0.0,,0.0,0.0
2016-09-21,0.7591487928674614,0.0,0.0,,0.0,0.0
2016-09-22,0.7577097059854578,0.0,0.0,,0.0,0.0
