datetime,precip,precipcover,preciptype,snow,snowdepth
2017-01-07,0.195,45.83,snow,1.5,0.9
2017-01-08,0.005,4.17,snow,0.8,2.1
2017-01-09,0.0,0.0,,0.0,1.6
2017-01-10,0.125,20.83,rain,0.0,1.4
2017-01-11,0.122,16.67,rain,0.0,0.6
2017-01-12,0.158,37.5,rain,0.0,0.0
2017-01-13,0.0,0.0,,0.0,0.0
2017-01-14,0.0,0.0,,0.0,0.0
2017-01-15,0.0,0.0,,0.0,0.0
2017-01-16,0.0,0.0,,0.0,0.0
2017-01-17,0.264,20.83,rain,0.0,0.0
2017-01-18,0.38,70.83,"rain,snow",0.3,0.2
2017-01-19,0.0,0.0,,0.0,0.0
2017-01-20,0.0,0.0,,0.0,0.0
2017-01-21,0.0,0.0,,0.0,0.0
2017-01-22,0.062,20.83,rain,0.0,0.0
2017-01-23,0.247,54.17,rain,0.0,0.0
2017-01-24,1.163,75.0,rain,0.0,0.3
2017-01-25,0.034,8.33,rain,0.0,0.4
2017-01-26,0.062,20.83,rain,0.0,0.2
2017-01-27,0.0,0.0,,0.0,0.0
2017-01-28,0.0,0.0,,0.0,0.0
2017-01-29,0.0,0.0,,0.0,0.0
2017-01-30,0.0,0.0,,0.0,0.0
2017-01-31,0.056,25.0,snow,0.5,0.1
2017-02-01,0.067,25.0,"rain,snow",0.3,0.5
2017-02-02,0.0,0.0,,0.0,0.3
2017-02-03,0.0,0.0,,0.0,0.1
2017-02-04,0.0,0.0,,0.0,0.1
2017-02-05,0.0,0.0,,0.0,0.1
2017-02-06,0.0,0.0,,0.0,0.0
2017-02-07,0.43,58.33,"rain,snow",1.5,0.6
2017-02-08,0.022,8.33,snow,0.0,0.4
2017-02-09,0.404,50.0,"rain,snow",2.0,0.8
2017-02-10,0.0,0.0,snow,2.0,3.3
2017-02-11,0.204,33.33,snow,0.3,3.6
2017-02-12,0.733,58.33,"rain,snow",0.1,3.5
2017-02-13,0.128,25.0,"rain,snow",2.0,3.4
2017-02-14,0.0,0.0,,0.0,3.1
2017-02-15,0.214,29.17,"rain,snow",0.3,3.2
2017-02-16,0.069,20.83,"rain,snow",0.5,3.3
2017-02-17,0.0,0.0,,0.0,2.9
2017-02-18,0.0,0.0,,0.0,2.8
2017-02-19,0.0,0.0,,0.0,2.4
2017-02-20,0.0,0.0,,0.0,2.2
2017-02-21,0.0,0.0,,0.0,2.2
2017-02-22,0.0,0.0,,0.0,1.8
2017-02-23,0.0,0.0,,0.0,1.0
2017-02-24,0.0,0.0,,0.0,0.1
2017-02-25,0.071,16.67,rain,0.0,0.0
2017-02-26,0.03,4.17,rain,0.0,0.0
2017-02-27,0.0,0.0,,0.0,0.0
2017-02-28,0.0,0.0,,0.0,0.0
2017-03-01,0.022,8.33,rain,0.0,0.0
2017-03-02,0.0,0.0,,0.0,0.0
2017-03-03,0.0,0.0,,0.0,0.0
2017-03-04,0.0,0.0,,0.0,0.0
2017-03-05,0.0,0.0,,0.0,0.0
2017-03-06,0.0,0.0,,0.0,0.0
2017-03-07,0.022,12.5,rain,0.0,0.0
2017-03-08,0.054,20.83,rain,0.0,0.0
2017-03-09,0.0,0.0,,0.0,0.0
2017-03-10,0.203,54.17,"rain,snow",0.3,0.2
2017-03-11,0.021,8.33,snow,0.2,0.3
2017-03-12,0.0,0.0,,0.0,0.9
2017-03-13,0.0,0.0,,0.0,1.2
2017-03-14,0.729,66.67,"rain,snow",1.3,0.9
2017-03-15,0.0,0.0,"rain,snow",0.7,1.6
2017-03-16,0.0,0.0,,0.0,1.5
2017-03-17,0.0,0.0,,0.0,1.2
2017-03-18,0.0,0.0,,0.0,1.0
2017-03-19,0.011,4.17,"rain,snow",0.0,1.0
2017-03-20,0.0,0.0,,0.0,0.9
2017-03-21,0.0,0.0,,0.0,0.5
