service_date,peak_offpeak_ind,pct
2024/01/24 05:00:00+00,OFF_PEAK,0.8725997904834233
2024/01/24 05:00:00+00,PEAK,0.8726539885994947
2024/01/23 05:00:00+00,OFF_PEAK,0.8970019853095968
2024/01/23 05:00:00+00,PEAK,0.912642404608437
2024/01/22 05:00:00+00,OFF_PEAK,0.9118011809869246
2024/01/19 05:00:00+00,OFF_PEAK,0.8335849014684344
2024/01/22 05:00:00+00,PEAK,0.9079557413534025
2024/01/19 05:00:00+00,PEAK,0.7984534007785535
2024/01/21 05:00:00+00,OFF_PEAK,0.86329722406539
2024/01/18 05:00:00+00,PEAK,0.8455898500858774
2024/01/18 05:00:00+00,OFF_PEAK,0.8606593570323238
2024/01/20 05:00:00+00,OFF_PEAK,0.8128819508409277
2024/01/14 05:00:00+00,OFF_PEAK,0.79047670546624
2024/01/16 05:00:00+00,OFF_PEAK,0.8368316567715599
2024/01/15 05:00:00+00,PEAK,0.7946555855431243
2024/01/15 05:00:00+00,OFF_PEAK,0.771172569134877
2024/01/17 05:00:00+00,OFF_PEAK,0.8084234721482522
2024/01/16 05:00:00+00,PEAK,0.857178535247124
2024/01/13 05:00:00+00,OFF_PEAK,0.7472721236528858
2024/01/17 05:00:00+00,PEAK,0.7932335604744116
2024/01/12 05:00:00+00,PEAK,0.8373553221189892
2024/01/12 05:00:00+00,OFF_PEAK,0.8504906249749239
2024/01/11 05:00:00+00,PEAK,0.8974495461729507
2024/01/11 05:00:00+00,OFF_PEAK,0.8387332381432784
2024/01/10 05:00:00+00,OFF_PEAK,0.8639375936345333
2024/01/10 05:00:00+00,PEAK,0.8710751333588691
2024/01/08 05:00:00+00,OFF_PEAK,0.8542020561217157
2024/01/09 05:00:00+00,PEAK,0.6946938763149509
2024/01/09 05:00:00+00,OFF_PEAK,0.7922758026293314
2024/01/07 05:00:00+00,OFF_PEAK,0.7968076605946973
2024/01/08 05:00:00+00,PEAK,0.8693855035513244
2024/01/05 05:00:00+00,OFF_PEAK,0.8618593773461634
2024/01/06 05:00:00+00,OFF_PEAK,0.8236358244451538
2024/01/05 05:00:00+00,PEAK,0.8510829403330569
2024/01/04 05:00:00+00,PEAK,0.8780610437796491
2024/01/04 05:00:00+00,OFF_PEAK,0.8660748947629775
2024/01/03 05:00:00+00,OFF_PEAK,0.8365750664700267
2024/01/03 05:00:00+00,PEAK,0.8986028556486653
2024/01/02 05:00:00+00,PEAK,0.8256586966724275
2023/12/31 05:00:00+00,OFF_PEAK,0.7778234933495435
2024/01/01 05:00:00+00,OFF_PEAK,0.755652311180175
2024/01/01 05:00:00+00,PEAK,0.7586771990198946
2024/01/02 05:00:00+00,OFF_PEAK,0.8312216374247113
2023/12/29 05:00:00+00,PEAK,0.7821329511921464
2023/12/30 05:00:00+00,OFF_PEAK,0.8252250467771938
2023/12/28 05:00:00+00,OFF_PEAK,0.793941842549155
2023/12/29 05:00:00+00,OFF_PEAK,0.8205412311933217
2023/12/28 05:00:00+00,PEAK,0.8613985817825865
2023/12/27 05:00:00+00,PEAK,0.7985427040508244
2023/12/27 05:00:00+00,OFF_PEAK,0.804758704274909
2023/12/26 05:00:00+00,OFF_PEAK,0.7964392582491813
2023/12/26 05:00:00+00,PEAK,0.763395990222773
2023/12/25 05:00:00+00,PEAK,0.7269066290262874
2023/12/22 05:00:00+00,OFF_PEAK,0.7849491206833676
2023/12/24 05:00:00+00,OFF_PEAK,0.7843088698272344
2023/12/25 05:00:00+00,OFF_PEAK,0.7351850613515111
2023/12/23 05:00:00+00,OFF_PEAK,0.7211135625108208
2023/12/21 05:00:00+00,PEAK,0.8429984353596691
2023/12/22 05:00:00+00,PEAK,0.730640553643792
2023/12/21 05:00:00+00,OFF_PEAK,0.8094809735793057
2023/12/20 05:00:00+00,OFF_PEAK,0.8131946973748246
2023/12/19 05:00:00+00,PEAK,0.6991700552878821
2023/12/20 05:00:00+00,PEAK,0.855789927442513
2023/12/19 05:00:00+00,OFF_PEAK,0.7580917068576422
2023/12/18 05:00:00+00,PEAK,0.6674509616866694
2023/12/17 05:00:00+00,OFF_PEAK,0.7144753319159693
2023/12/18 05:00:00+00,OFF_PEAK,0.6749704049883279
2023/12/16 05:00:00+00,OFF_PEAK,0.7348801797815108
2023/12/15 05:00:00+00,OFF_PEAK,0.7690625890994407
2023/12/14 05:00:00+00,OFF_PEAK,0.7541434515854424
2023/12/15 05:00:00+00,PEAK,0.7646819650480579
2023/12/14 05:00:00+00,PEAK,0.813995224799503
2023/12/13 05:00:00+00,PEAK,0.8089989018580811
2023/12/13 05:00:00+00,OFF_PEAK,0.7629701845561043
2023/12/12 05:00:00+00,OFF_PEAK,0.7591172125476537
2023/12/12 05:00:00+00,PEAK,0.7853778022785175
2023/12/11 05:00:00+00,PEAK,0.7598048240591418
2023/12/10 05:00:00+00,OFF_PEAK,0.802485906129252
2023/12/11 05:00:00+00,OFF_PEAK,0.7800766001975079
2023/12/08 05:00:00+00,PEAK,0.838733648342046
2023/12/08 05:00:00+00,OFF_PEAK,0.7860547908669218
2023/12/09 05:00:00+00,OFF_PEAK,0.7299085500425281
2023/12/07 05:00:00+00,PEAK,0.7489741622423869
2023/12/07 05:00:00+00,OFF_PEAK,0.7533550111476258
2023/12/06 05:00:00+00,OFF_PEAK,0.7276105667514885
2023/12/06 05:00:00+00,PEAK,0.7498678513458527
2023/12/05 05:00:00+00,PEAK,0.7874457893000302
2023/12/05 05:00:00+00,OFF_PEAK,0.8743161804083649
2023/12/04 05:00:00+00,PEAK,0.8226655652748696
2023/12/03 05:00:00+00,OFF_PEAK,0.7136173963430251
2023/12/04 05:00:00+00,OFF_PEAK,0.8419699683422678
2023/12/02 05:00:00+00,OFF_PEAK,0.795415504536516
2023/12/01 05:00:00+00,OFF_PEAK,0.8530110927914019
2023/12/01 05:00:00+00,PEAK,0.7832350526927161
2023/11/30 05:00:00+00,PEAK,0.8553082383960229
2023/11/30 05:00:00+00,OFF_PEAK,0.8690887477806758
2023/11/28 05:00:00+00,OFF_PEAK,0.9116171992985229
2023/11/29 05:00:00+00,OFF_PEAK,0.8550878789237096
2023/11/29 05:00:00+00,PEAK,0.818305177053659
2023/11/27 05:00:00+00,PEAK,0.8425943427681614
2023/11/28 05:00:00+00,PEAK,0.8637039889385822
2023/11/25 05:00:00+00,OFF_PEAK,0.7990790222895235
2023/11/27 05:00:00+00,OFF_PEAK,0.8958496818065613
2023/11/26 05:00:00+00,OFF_PEAK,0.778767886559281
2023/11/24 05:00:00+00,PEAK,0.8233190879009364
2023/11/24 05:00:00+00,OFF_PEAK,0.8575040617096399
2023/11/23 05:00:00+00,PEAK,0.790595658269001
2023/11/23 05:00:00+00,OFF_PEAK,0.8289310329257182
2023/11/22 05:00:00+00,OFF_PEAK,0.8386422127732728
2023/11/22 05:00:00+00,PEAK,0.7950623710944013
2023/11/21 05:00:00+00,OFF_PEAK,0.8050129828709922
2023/11/21 05:00:00+00,PEAK,0.659871987541564
2023/11/19 05:00:00+00,OFF_PEAK,0.7481798712848678
2023/11/18 05:00:00+00,OFF_PEAK,0.7866092483576788
2023/11/20 05:00:00+00,OFF_PEAK,0.7468983038726194
2023/11/20 05:00:00+00,PEAK,0.8381995604846596
2023/11/17 05:00:00+00,PEAK,0.7831230519426088
2023/11/17 05:00:00+00,OFF_PEAK,0.8014142739195086
2023/11/15 05:00:00+00,OFF_PEAK,0.7923936970708613
2023/11/16 05:00:00+00,OFF_PEAK,0.780639703019607
2023/11/16 05:00:00+00,PEAK,0.7627613281977464
2023/11/14 05:00:00+00,OFF_PEAK,0.8111172318254143
2023/11/15 05:00:00+00,PEAK,0.8124844740434902
2023/11/14 05:00:00+00,PEAK,0.8585598906441928
2023/11/13 05:00:00+00,OFF_PEAK,0.7423663562184275
2023/11/11 05:00:00+00,OFF_PEAK,0.7928308540093149
2023/11/10 05:00:00+00,PEAK,0.8542777675352046
2023/11/12 05:00:00+00,OFF_PEAK,0.8338916703369609
2023/11/10 05:00:00+00,OFF_PEAK,0.7969416267589591
2023/11/13 05:00:00+00,PEAK,0.7999595339877075
2023/11/09 05:00:00+00,OFF_PEAK,0.8096964744492788
2023/11/08 05:00:00+00,PEAK,0.8286876775080969
2023/11/09 05:00:00+00,PEAK,0.7984169583338271
2023/11/07 05:00:00+00,PEAK,0.7971924254449574
2023/11/08 05:00:00+00,OFF_PEAK,0.7418030925237207
2023/11/07 05:00:00+00,OFF_PEAK,0.7764308122415162
2023/11/06 05:00:00+00,OFF_PEAK,0.7653733869637442
2023/11/05 04:00:00+00,OFF_PEAK,0.8191997163016083
2023/11/06 05:00:00+00,PEAK,0.6782265320946871
2023/11/04 04:00:00+00,OFF_PEAK,0.8029412373647888
2023/11/03 04:00:00+00,PEAK,0.8290254807841171
2023/11/02 04:00:00+00,PEAK,0.7506402166331896
2023/11/03 04:00:00+00,OFF_PEAK,0.8020308852053392
2023/11/01 04:00:00+00,PEAK,0.7532773250264598
2023/11/01 04:00:00+00,OFF_PEAK,0.8061004323896942
2023/11/02 04:00:00+00,OFF_PEAK,0.8015015127875396
2023/10/31 04:00:00+00,PEAK,0.7478540941748846
2023/10/30 04:00:00+00,OFF_PEAK,0.7472096411619398
2023/10/31 04:00:00+00,OFF_PEAK,0.7461226430195239
2023/10/29 04:00:00+00,OFF_PEAK,0.7581698331494426
2023/10/30 04:00:00+00,PEAK,0.811889121144183
2023/10/28 04:00:00+00,OFF_PEAK,0.7475887889895604
2023/10/27 04:00:00+00,OFF_PEAK,0.819426313745154
2023/10/27 04:00:00+00,PEAK,0.8071401690023834
2023/10/26 04:00:00+00,OFF_PEAK,0.7947843143675548
2023/10/26 04:00:00+00,PEAK,0.7942797927203533
2023/10/25 04:00:00+00,PEAK,0.7716334316508874
